Age,Height,Weight,Sport,
25,194,90,0,
24,194,90,0,
22,195,96,0,
29,205,96,1,
23,198,98,0,
33,184,78,0,
20,180,73,0,
26,216,116,1,
23,178,78,0,
33,178,65,0,
26,188,82,0,
21,183,72,0,
27,215,122,1,
29,190,85,1,
22,197,94,0,
31,176,85,1,
26,196,89,1,
29,201,90,1,
19,187,72,0,
22,187,84,0,
32,191,80,1,
20,192,88,1,
25,178,78,0,
27,199,94,1,
34,209,98,1,
24,184,71,0,
32,202,102,1,
28,172,68,0,
30,193,85,0,
28,192,94,0,
24,185,78,0,
25,188,85,0,
24,188,78,0,
27,195,85,0,
21,186,83,0,
25,177,72,0,
20,178,78,0,
18,179,73,0,
17,188,66,0,
23,189,84,0,
17,185,71,0,
27,183,86,1,
21,176,71,0,
18,168,68,0,
26,183,67,0,
31,190,85,0,
20,194,80,0,
22,183,82,0,
22,185,75,0,
27,193,88,0,
31,201,104,1,
18,175,75,0,
25,187,68,0,
23,188,88,0,
28,191,78,0,
35,190,82,1,
26,182,82,0,
20,189,72,0,
32,215,115,1,
21,192,86,0,
22,172,62,0,
15,175,57,0,
19,195,93,0,
20,178,70,0,
24,184,73,0,
26,205,91,0,
23,192,85,0,
38,189,88,1,
24,185,80,0,
28,194,92,0,
20,180,68,0,
26,190,82,1,
27,188,80,0,
30,195,91,0,
22,193,80,0,
21,190,81,0,
28,192,90,0,
23,178,80,0,
28,196,76,0,
31,198,95,1,
20,185,74,0,
27,191,86,0,
28,187,76,0,
28,192,88,1,
22,193,92,0,
18,181,88,0,
28,198,103,1,
22,182,75,0,
23,187,78,0,
26,190,84,0,
27,184,81,0,
25,186,78,0,
18,183,76,0,
22,176,72,0,
32,190,84,0,
17,170,62,0,
16,188,73,0,
27,173,80,0,
21,180,75,0,
32,206,108,1,
24,187,82,0,
27,196,80,1,
22,206,130,1,
23,170,68,0,
21,196,90,0,
28,188,79,0,
23,192,85,0,
21,178,73,0,
23,190,82,0,
23,186,78,0,
23,198,84,1,
21,185,76,0,
26,189,80,0,
21,185,75,0,
20,183,77,0,
19,180,77,0,
28,180,78,0,
31,204,100,1,
32,188,84,0,
25,179,81,0,
34,206,113,1,
20,183,74,0,
27,210,117,1,
26,196,92,0,
20,183,78,0,
20,198,82,0,
25,188,85,0,
26,185,82,0,
25,184,78,0,
18,183,74,0,
27,197,95,0,
26,193,90,0,
35,189,90,0,
25,193,88,0,
24,197,92,0,
32,202,98,1,
26,189,78,0,
20,198,89,0,
26,206,95,1,
22,182,82,0,
21,188,84,0,
21,183,71,0,
21,194,74,0,
27,183,80,0,
25,185,79,0,
26,185,77,0,
27,177,79,0,
27,183,85,0,
27,188,75,0,
21,190,84,0,
26,198,90,0,
28,185,84,0,
